logFC AveExpr t P.Value adj.P.Val B Entrez_Gene_ID
LOC643363 -0.01590788 6.010349 -0.7356909 0.4636576 0.7368001 -6.7225675232 643363
LOC643365 -0.004806182 5.995906 -0.1859425 0.8528702 0.9455561 -6.9756023629 643365
LOC643368 0.008490411 6.083314 0.37003 0.7121502 0.8844381 -6.9243838232 643368
LOC643369 -0.01155116 6.016428 -0.5247359 0.6009394 0.8271631 -6.8551952993 643369
LOC643373 0.04998806 6.095353 2.031703 0.04486205 0.1727173 -4.9676726072 643373
LOC643377 0.007716146 6.03348 0.343457 0.7319827 0.8942658 -6.9338678358 643377
LOC643378 0.004408686 5.886835 0.1723297 0.86353 0.9501702 -6.9780443732 643378
LOC643381 -0.009342986 5.986682 -0.4430149 0.6587211 0.8583699 -6.8947122876 643381
LOC643382 -0.04396226 6.249955 -1.720966 0.08837973 0.2823091 -5.5313961769 643382
LOC643386 0.02309399 5.902298 0.9973847 0.3210085 0.6152226 -6.497165746 643386
LOC643388 0.05204682 6.162215 2.243535 0.0270896 0.1172007 -4.5342820778 643388
LOC643389 0.07026427 6.644918 1.274299 0.2055395 0.4809225 -6.1862293514 643389
LOC643391 0.01943044 5.975691 0.775674 0.4397898 0.7192636 -6.692475226 643391
LOC643396 0.0566948 6.200322 1.420303 0.1586601 0.4128953 -5.9927607083 643396
LOC643397 0.01553615 6.060187 0.5431498 0.5882471 0.8191481 -6.8453746605 643397
LOC643401 -0.00688382666666667 6.04439033333333 -0.33026423 0.707441233333333 0.868812266666667 -6.8827436501 643401
LOC643402 0.02713318 6.260792 0.8907829 0.3752046 0.6660508 -6.5970731961 643402
LOC643403 0.01082027 6.093938 0.3664789 0.7147895 0.8858984 -6.9256920388 643403
LOC643406 0.02969074 5.971164 1.326242 0.18781 0.4566732 -6.1197167591 643406
LOC643409 0.008631144 5.990348 0.4687358 0.6402886 0.8479319 -6.8829911231 643409
LOC643412 0.05197708 6.356108 1.47941 0.1422045 0.3865634 -5.9087128044 643412
LOC643416 -0.01743699 5.803168 -0.7081864 0.480493 0.7486612 -6.7423537683 643416
LOC643420 -0.003168385 6.101443 -0.1339475 0.8937159 0.9633258 -6.9839310003 643420
LOC643422 0.02727566 6.227186 0.8356077 0.4053871 0.6920313 -6.6444238362 643422
LOC643423 0.129831 6.519131 2.867405 0.005056852 0.02956332 -3.0381015115 643423
LOC643424 -0.02560249 6.155863 -1.037908 0.3018404 0.595891 -6.4562865803 643424
LOC643426 -0.01103075 6.055825 -0.5079793 0.6125974 0.8337416 -6.8638393406 643426
LOC643428 0.0199645 6.051409 0.9760952 0.3313955 0.6254822 -6.5180030969 643428
LOC643429 -0.01499988 5.979465 -0.7034641 0.4834171 0.7505253 -6.7456758558 643429
LOC643430 0.02078664 6.11504 0.6980281 0.4867953 0.7528995 -6.7494727413 643430
LOC643431 0.1181346 6.126872 2.862921 0.00512333 0.02988373 -3.0499786032 643431
LOC643432 -0.02682768 6.205551 -1.131264 0.2606758 0.5499305 -6.3560592207 643432
LOC643433 0.3808827 12.198594 6.056819 2.508079e-08 5.464535e-07 8.6157792767 643433
LOC643435 0.00934402 6.072312 0.4146638 0.6792849 0.8682423 -6.9068688534 643435
LOC643438 0.2029094 6.753043 3.921148 0.0001625018 0.001473907 0.1614050624 NA
LOC643441 -0.00418849566666667 6.08767233333333 -0.3008869 0.363550706666667 0.560451633333333 -6.20105964476667 643441
LOC643444 -0.03194625 6.108731 -1.281719 0.2029339 0.4778404 -6.1768854824 643444
LOC643446 0.24680325 6.59219133333333 3.465096 0.0230700765081667 0.0831123925843333 -0.546664909333333 643446
LOC643449 -0.020909655 6.092032 -0.88785255 0.38117675 0.6660957 -6.5905875278 643449
LOC643451 -0.009577657 6.062957 -0.4302777 0.6679285 0.8623075 -6.9002728794 643451
LOC643452 0.02181252 6.547955 0.7423442 0.4596359 0.7344608 -6.7176692761 643452
LOC643453 0.006965956 6.278098 0.2237468 0.8234153 0.9345918 -6.9678481668 643453
LOC643454 0.01447665 6.006425 0.5975366 0.551513 0.7966724 -6.814404102 643454
LOC643461 0.0001892663 5.992772 0.007886565 0.9937234 0.9975576 -6.9928856774 643461
LOC643464 0.003773343 6.201933 0.1581567 0.8746554 0.9558637 -6.9803897967 643464
LOC643465 0.01949354 5.995993 0.9105772 0.3647291 0.656812 -6.5793600043 643465
LOC643466 0.03277838 6.485415 0.7286544 0.4679326 0.7401124 -6.7277004464 643466
LOC643467 -0.01643775 6.089593 -0.694287 0.4891277 0.7543839 -6.7520688779 643467
LOC643468 0.03193115 5.871739 1.268136 0.2077223 0.4838822 -6.1939500003 643468
LOC643475 0.0085199835 6.065681 0.4322108 0.59972045 0.7846717 -6.7334268082 643475
LOC643479 -0.007169284 6.033503 -0.2843838 0.7767101 0.914711 -6.9524257644 643479
LOC643482 0.02091932 6.15534 0.7729244 0.4414079 0.7204327 -6.694595071 643482
LOC643491 0.01927284 5.98237 0.8226098 0.4127062 0.6987639 -6.6551442998 643491
LOC643492 0.05593933 6.159288 2.085822 0.0395651 0.1570595 -4.860679529 643492
LOC643493 0.008621576 6.09003 0.4031521 0.6877054 0.8726699 -6.9115762774 643493
LOC643495 0.01064169 6.052802 0.4591907 0.6471035 0.8520631 -6.8874177336 643495
LOC643496 0.002063664 5.897601 0.1006635 0.9200211 0.9721932 -6.9878416649 643496
LOC643501 -0.00224071 6.0547925 -0.2591185 0.37486145 0.64704105 -6.5365524462 643501
LOC643502 -0.007588775 6.082144 -0.3273689 0.7440798 0.8999173 -6.9392672342 643502
LOC643505 0.02311633 6.363915 0.3997248 0.69022 0.8738738 -6.9129522743 643505
LOC643509 -0.018968255 9.714529 -0.313342 0.15470425 0.3831904 -5.82847319085 643509
LOC643520 0.008478281 5.974299 0.4266643 0.6705499 0.8637435 -6.9018209279 643520
LOC643529 -0.01226086 6.103506 -0.5203473 0.6039828 0.8291851 -6.8574861331 643529
LOC643533 0.0102886 6.073085 0.5449574 0.5870079 0.818347 -6.8443924599 643533
LOC643547 0.01459539 5.995357 0.4834942 0.6298122 0.8422948 -6.8759683606 643547
LOC643550 -0.01370143 6.125268 -0.6186533 0.5375651 0.786642 -6.8015889632 643550
LOC643556 0.087451462 6.203206 2.2514187 0.40515977253 0.4649808677 -2.8044597304 643556
LOC643558 0.0140769322 6.158005 0.47205082 0.3707203 0.59597842 -6.34533861166 643558
LOC643559 0.03380687 6.236616 1.15668 0.2501857 0.5379191 -6.3273168865 643559
LOC643563 -0.006136145 5.992039 -0.3081184 0.7586394 0.9068629 -6.9453883668 643563
LOC643566 -0.02569216 6.01942 -1.093685 0.2767461 0.5676569 -6.3974169227 643566
LOC643570 0.1228099 6.147955 4.921945 3.421364e-06 4.661333e-05 3.8512514871 643570
LOC643576 0.02785955 6.090559 1.279301 0.2037803 0.4787907 -6.1799361686 643576
LOC643577 -0.006764174 6.293402 -0.2170841 0.8285893 0.9366294 -6.9693185482 643577
LOC643580 -0.01238355 6.106364 -0.5185643 0.6052213 0.8298985 -6.858411399 643580
LOC643581 -0.006905593 6.145034 -0.2666354 0.7903043 0.9203733 -6.9573203786 643581
LOC643582 0.00143304 5.974476 0.06100789 0.9514759 0.9828087 -6.9910526326 643582
LOC643583 -0.02345013 6.040704 -0.9373692 0.350849 0.643736 -6.5547754201 643583
LOC643584 0.01107427 5.949912 0.5211649 0.6034153 0.8287421 -6.8570607914 643584
LOC643590 0.05249543 6.279483 1.380973 0.1703954 0.4313705 -6.0468621303 643590
LOC643594 0.009190651 5.965214 0.4976375 0.6198427 0.8374968 -6.869034971 643594
LOC643595 -0.003478566 5.970822 -0.1562993 0.8761153 0.9565598 -6.9806822727 643595
LOC643596 -0.02703291 5.937707 -1.216236 0.2267859 0.5085305 -6.2575331538 643596
LOC643598 0.01001739 6.104681 0.4438218 0.6581396 0.8581883 -6.8943546111 643598
LOC643599 -0.05543585 5.843003 -2.523408 0.01321316 0.06573074 -3.9027070022 643599
LOC643604 0.03572843 5.943275 1.868232 0.06468583 0.2260038 -5.2750700732 643604
LOC643605 0.00207303 5.943293 0.09666722 0.923186 0.9730422 -6.9882366118 643605
LOC643608 -0.002549962 6.159158 -0.09105913 0.9276295 0.9743117 -6.9887638776 643608
LOC643612 0.0005176474 6.127147 0.01560257 0.9875828 0.9951853 -6.992794898 643612
LOC643614 0.008814815 6.079904 0.3524331 0.7252624 0.8910021 -6.9307430473 643614
LOC643615 -0.007021266 6.14889 -0.3063076 0.7600135 0.9076581 -6.9459451052 643615
LOC643619 0.02106848 6.202536 0.6914898 0.4908756 0.7555138 -6.7540009842 643619
LOC643621 -0.01076533 6.139375 -0.4596361 0.6467848 0.8519432 -6.8872131767 643621
LOC643623 0.03110397 6.0850315 1.155684 0.2557505 0.53881915 -6.3178440582 643623
LOC643624 0.06027798 6.9062745 0.5414245 0.112061745 0.28574214 -5.2282591359 643624
LOC643626 0.02095102 5.857913 0.8965922 0.3721108 0.6631691 -6.5919143232 643626
LOC643630 -0.02259376 6.025746 -1.203153 0.2317854 0.5148294 -6.2731545458 643630
LOC643634 0.0008798343 5.845876 0.04023709 0.9679851 0.9886893 -6.9921059109 643634
LOC643637 0.007067069 6.081482 0.2647569 0.791747 0.9209545 -6.9578199907 643637
LOC643640 -0.01832297 6.031431 -0.8583872 0.3927514 0.6817519 -6.6252360781 643640
LOC643641 0.002878071 6.092633 0.1124789 0.9106713 0.9693849 -6.9865804273 643641
LOC643647 0.02350898 6.012479 1.106915 0.271012 0.5611306 -6.3830120908 643647
LOC643648 0.02089392 6.150327 0.8787895 0.3816426 0.6717461 -6.6076192118 643648
LOC643652 0.006041851 5.957492 0.2712355 0.7867745 0.9192672 -6.95608199 643652
LOC643660 -0.01840546 6.06277 -0.8555182 0.3943294 0.6831481 -6.6276806881 643660
LOC643662 -0.02079807 6.031354 -0.9592587 0.3397644 0.633237 -6.5341696606 643662
LOC643664 -0.009144201 5.867227 -0.3725176 0.7103035 0.8838283 -6.9234599416 643664
LOC643665 -0.01167367 6.066747 -0.6009355 0.5492558 0.7952268 -6.8123712277 643665
LOC643668 0.146564414 6.864499 1.31911163333333 0.334481806666667 0.440403 -5.6268565964 643668
LOC643669 0.079670605 6.2577195 3.0168795 0.0219343865 0.0853138795 -2.2728753336 643669
LOC643672 -0.04242359 6.036503 -1.797365 0.07532529 0.2518366 -5.4008766097 643672
LOC643677 -0.0172066 6.083164 -0.5963077 0.5523302 0.7971707 -6.815136249 643677
LOC643684 0.017636125 6.1373245 0.6002994 0.55018915 0.7945687 -6.81148852415 643684
LOC643686 0.006283805 6.116802 0.2267262 0.821104 0.9340229 -6.9671762585 643686
LOC643687 0.002829836 5.958317 0.1135301 0.9098401 0.9689544 -6.986461444 643687
LOC643690 -0.006793286 6.012106 -0.2736716 0.784907 0.9183516 -6.9554176149 643690
LOC643692 -0.009605827 6.057914 -0.420872 0.6747604 0.8657519 -6.9042753179 643692
LOC643693 -0.04455554 6.140299 -1.684274 0.09527801 0.2971071 -5.5921831457 643693
LOC643695 -0.02523626 5.94607 -1.135521 0.2588976 0.5479809 -6.3512886815 643695
LOC643696 -0.03061127 6.075969 -1.669271 0.09822197 0.3029436 -5.6166822856 643696
LOC643697 -0.01914185 6.061374 -0.91215 0.3639048 0.6562689 -6.5779361672 643697
LOC643699 -0.008925521 5.943693 -0.3782169 0.706079 0.8813609 -6.9213199489 643699
LOC643700 -0.01910679 5.970969 -0.8953325 0.3727803 0.6640004 -6.5930357557 643700
LOC643702 -0.02019052 5.939949 -0.7981937 0.4266679 0.7099506 -6.6748340363 643702
LOC643703 -0.0008018554 6.043815 -0.03891917 0.9690332 0.9887444 -6.9921581622 643703
LOC643712 0.02443444 6.1774 0.824085 0.4118715 0.6979974 -6.6539359278 643712
LOC643713 0.01869436 6.223285 0.7603106 0.4488752 0.7258751 -6.7042243244 643713
LOC643714 -0.003475384 6.024784 -0.163498 0.8704595 0.953562 -6.9795294937 643714
LOC643717 0.00411965 6.10906 0.1523682 0.8792066 0.958069 -6.9812898904 643717
LOC643718 0.001596132 6.029188 0.05415579 0.9569201 0.9843347 -6.991447865 643718
LOC643719 0.02635069 6.125637 1.192161 0.2360468 0.5205797 -6.2861522189 643719
LOC643720 -0.002032129 6.01843 -0.09425479 0.9250972 0.9737135 -6.9884672859 643720
LOC643721 -0.04735624 6.00821 -2.105182 0.03780573 0.1518096 -4.8217799959 643721
LOC643722 0.1521335 6.167207 4.399491 2.737951e-05 0.0003034324 1.8552499845 643722
LOC643729 -0.01496831 5.952976 -0.6821933 0.4967092 0.7596233 -6.7603668215 643729
LOC643731 -0.01630378 6.00821 -0.7037186 0.4832593 0.75041 -6.7454973334 643731
LOC643734 0.006397681 5.952268 0.3230914 0.7473072 0.9014005 -6.9406593605 643734
LOC643738 -0.01694552 6.167193 -0.7323655 0.4656752 0.7381732 -6.7249993374 643738
LOC643740 -0.01763229 6.182484 -0.8267513 0.4103655 0.6969434 -6.6517464089 643740
LOC643747 0.03106262 6.04901 1.31269 0.1923213 0.4628872 -6.1373174883 643747
LOC643748 0.001012995 6.034776 0.03835252 0.9694838 0.9887741 -6.9921800929 643748
LOC643749 -0.01066652 5.968015 -0.3944959 0.6940632 0.8758284 -6.91502903 643749
LOC643752 0.01695117 5.967118 0.8412123 0.4022555 0.6899152 -6.6397500582 643752
LOC643755 -0.004256834 6.0469 -0.199676 0.8421434 0.9414729 -6.9729507894 643755
LOC643757 -0.02382342 6.041426 -1.026805 0.3070137 0.6012099 -6.4676456197 643757
LOC643761 0.0133417 5.803472 0.4284387 0.6692621 0.8630216 -6.901062373 643761
LOC643763 0.01809351 6.000684 0.8265834 0.4104602 0.6970231 -6.6518845102 643763
LOC643767 -0.03489507 6.068748 -1.301861 0.1959838 0.4681824 -6.151255841 643767
LOC643770 -0.01443568 5.993843 -0.5651009 0.573283 0.8098538 -6.833227731 643770
LOC643771 -0.008183957 5.953936 -0.3619354 0.7181714 0.8876928 -6.9273474724 643771
LOC643772 0.008835868 6.077067 0.3967322 0.6924185 0.8750239 -6.9141441548 643772
LOC643774 -0.02440677 5.933463 -0.930433 0.3544094 0.647425 -6.5612073235 643774
LOC643783 0.00803679 6.09582 0.4207123 0.6748767 0.8658025 -6.9043425155 643783
LOC643784 -0.01835076 6.073987 -0.7885027 0.4322861 0.7137919 -6.6824867485 643784
LOC643787 -0.04075672 5.941705 -1.68879 0.09440599 0.2953534 -5.5847678459 643787
LOC643790 0.08192552 6.335844 2.015932 0.04651563 0.1773266 -4.9983663303 643790
LOC643791 -0.05067887 6.069821 -2.109436 0.03742832 0.1506796 -4.8131883377 643791
LOC643792 0.01876169 6.291748 0.5796488 0.5634678 0.8046749 -6.8249140562 643792
LOC643799 0.02377325 5.966188 0.8428104 0.4013653 0.6891717 -6.6384117726 643799
LOC643801 -0.01492346 5.960282 -0.7685287 0.4440019 0.722461 -6.6979684877 643801
LOC643805 0.0002006143 6.127469 0.007705218 0.9938677 0.9975905 -6.9928870936 643805
LOC643807 0.03212235 6.138591 1.185808 0.2385354 0.5234652 -6.2936117938 643807
LOC643808 -0.002501992 5.938755 -0.09032064 0.9282148 0.9744897 -6.9888309628 643808
LOC643809 0.0418635 6.081167 1.640509 0.1040718 0.3148819 -5.6630692345 643809
LOC643811 0.0473277 6.002036 2.666795 0.008945544 0.04762734 -3.5538978809 643811
LOC643813 -0.03499033 5.997795 -1.387417 0.1684287 0.4283531 -6.0380981944 643813
LOC643814 0.005307555 5.965786 0.2108425 0.8334434 0.9388389 -6.970655744 643814
LOC643815 0.04035195 5.935636 1.487047 0.1401793 0.3829692 -5.8976149439 643815
LOC643817 0.02639635 6.101607 1.087437 0.2794831 0.5706839 -6.4041608367 643817
LOC643821 -0.03463178 6.023517 -1.336902 0.1843174 0.4516904 -6.1057491918 643821
LOC643824 -0.45817445 6.4841565 -6.0378145 7.40098265e-08 1.37935045e-06 8.5548094089 643824
LOC643825 -0.01258165 6.1875 -0.4261922 0.6708927 0.8639792 -6.9020222305 643825
LOC643831 0.4285939 6.538538 7.03073 2.669302e-10 8.715897e-09 13.052498243 643831
LOC643834 0.028740512 5.9757595 1.3050068 0.424078285 0.511805055 -5.58598383885 643834
LOC643836 0.02682322 6.0976505 0.9311929 0.369019 0.64310575 -6.52966954095 643836
LOC643837 0.04512039 6.128054 1.831264 0.07006743 0.2391218 -5.3412639521 643837
LOC643841 -0.0453624 6.17412 -1.630526 0.1061668 0.3188412 -5.6789917208 643841
LOC643842 -0.01679644 6.007557 -0.6657592 0.5071127 0.766665 -6.7714112386 643842
LOC643844 -0.02282208 6.04963 -1.049706 0.296408 0.590244 -6.4440852166 643844
LOC643847 0.0064189975 6.0502865 0.24343905 0.621565 0.8246588 -6.833295811 643847
LOC643850 0.01109877 6.086977 0.5995634 0.5501665 0.7956607 -6.8131932777 643850
LOC643853 0.0101753 5.928753 0.4545882 0.6504003 0.8541067 -6.8895197523 643853
LOC643854 -0.01221827 6.089763 -0.5633075 0.5744987 0.8105864 -6.8342380391 643854
LOC643855 0.0136878 6.176186 0.5580693 0.5780565 0.8126096 -6.8371708185 643855
LOC643857 -0.03672725 6.088612 -1.017798 0.311254 0.6057253 -6.4767725872 643857
LOC643866 0.01635398 5.908358 0.7371626 0.4627663 0.7363716 -6.721487781 643866
LOC643868 -0.01372469 5.878283 -0.6153369 0.5397437 0.7883253 -6.8036308431 643868
LOC643869 -0.04564837 5.959461 -2.226277 0.02826186 0.1211392 -4.5710488843 643869
LOC643870 0.1288464 6.4365 2.704901 0.008044633 0.04370603 -3.4583916571 643870
LOC643872 -0.01485572 6.085915 -0.7208012 0.4727299 0.743804 -6.733371498 643872
LOC643878 0.02202582 5.944543 0.9543551 0.3422276 0.6357167 -6.5388262994 643878
LOC643879 0.03266794 6.000697 1.176077 0.2423835 0.5285721 -6.3049628558 643879
LOC643882 0.06788878 6.680501 1.48386 0.1410218 0.3843479 -5.9022536955 643882
LOC643883 0.03614065 5.965243 1.384866 0.1692053 0.429475 -6.0415728543 643883
LOC643884 0.01450696 6.161495 0.6324073 0.5285781 0.7805499 -6.7930046046 643884
LOC643888 0.002188783 6.459532 0.06777756 0.9460994 0.9809608 -6.9906159717 643888
LOC643895 -0.03042243 5.965081 -1.465114 0.1460572 0.3927038 -5.9293419489 643895
LOC643897 -0.01623567 6.052781 -0.8049415 0.4227816 0.7071382 -6.6694509482 643897
LOC643899 -0.01814382 5.946403 -0.7332843 0.4651172 0.737984 -6.7243285155 643899
LOC643900 0.008724133 6.02479 0.4444187 0.6577096 0.8579614 -6.8940895913 643900
LOC643901 0.05206947 6.099668 1.770195 0.07977187 0.2620037 -5.4479026796 643901
LOC643903 -0.03941766 6.319371 -1.362599 0.1760995 0.4403009 -6.0716375809 643903
LOC643904 -0.002730481 5.9917745 -0.1137275 0.90970825 0.9684596 -6.9861721105 643904
LOC643905 0.02660583 5.908601 0.8819011 0.3799657 0.669968 -6.6048966269 643905
LOC643906 -0.03134739 5.945396 -1.303828 0.1953148 0.4672036 -6.1487327328 643906
LOC643910 0.002064954 5.97626 0.07118975 0.9433903 0.9801982 -6.9903784775 643910
LOC643911 0.1447189 6.293805 3.088812 0.002608021 0.01684171 -2.4323756717 643911
LOC643912 0.0140582 6.0423 0.5274636 0.5990513 0.8260363 -6.8537617535 643912
LOC643913 0.002214871 6.375239 0.08402959 0.9332025 0.9759792 -6.9893803016 643913
LOC643918 0.03778083 6.029928 1.4236548 0.2438903 0.44122095 -5.7819564554 643918
LOC643920 -0.008024211 5.891624 -0.370157 0.7120559 0.8844381 -6.9243368094 643920
LOC643922 0.04717472 6.02605 1.649829 0.1021461 0.3108922 -5.648120686 643922
LOC643923 -0.0247544 6.0001975 -1.1552267 0.343467415 0.5418846 -6.12809982185 643923
LOC643927 0.01985455 5.843105 0.7698688 0.4432102 0.7216795 -6.6969420509 643927
LOC643930 0.02885168 5.871979 1.15078 0.2525936 0.5407642 -6.334043988 643930
LOC643932 0.08685835 6.592634 1.9546 0.05344985 0.1964674 -5.1156306493 643932
LOC643933 -0.03307665 6.152708 -1.145514 0.2547567 0.5432814 -6.3400203297 643933
LOC643935 -0.0279087 6.029354 -1.159743 0.2489416 0.5366436 -6.3238102011 643935
LOC643936 -0.0004513025 6.0160645 -0.010825 0.74512725 0.90053165 -6.9396564623 643936
LOC643937 0.04885878 6.151391 1.897051 0.06073459 0.2160459 -5.2226128555 643937
LOC643938 0.008531929 6.097571 0.3492434 0.727648 0.8920408 -6.9318626643 643938
LOC643943 -0.05543769 5.983145 -2.111916 0.03720981 0.1500234 -4.8081725452 643943
LOC643948 0.005346887 5.978397 0.1845535 0.8539567 0.9461537 -6.9758600327 643948
LOC643949 0.2349924 7.416259 2.578616 0.01139065 0.05811432 -3.7703968152 643949
LOC643950 -0.002219315 6.196595 -0.08814184 0.9299419 0.975013 -6.9890257041 643950
LOC643951 0.01517725 6.009027 0.8015186 0.4247503 0.7086018 -6.6721871325 643951
LOC643953 -0.01533939 5.982989 -0.6719932 0.5031527 0.7641612 -6.7672531526 643953
LOC643958 -0.02915501 6.098397 -1.338611 0.1837623 0.4510344 -6.1035009472 643958
LOC643959 -0.01465069 5.981408 -0.6349836 0.5269034 0.7794621 -6.7913757957 643959
LOC643961 0.02717103 6.068433 1.325399 0.1880882 0.4569951 -6.1208165451 643961
LOC643962 0.03154481 6.000716 1.23099525 0.26341846 0.50757305 -6.1492648896 643962
LOC643965 0.0171894 5.987078 0.66726 0.5061578 0.7658328 -6.770413703 643965
LOC643968 -0.02051195 5.924782 -1.010982 0.3144888 0.608927 -6.4836269559 643968
LOC643977 -0.1242116 6.52924 -2.175495 0.03197231 0.133624 -4.6777448317 643977
LOC643980 0.01176476 6.1269405 0.36012235 0.7200282 0.88796075 -6.9261372687 643980
LOC643982 -0.01006154 6.069396 -0.4371245 0.6629727 0.8599032 -6.8973039204 643982
LOC643983 -0.005617424 6.047347 -0.2152318 0.8300292 0.9373574 -6.9697194505 643983
LOC643985 0.05065946 6.432141 1.319479 0.1900513 0.4595459 -6.1285222415 643985
LOC643986 0.01966475 6.252201 0.5442039 0.5875243 0.8186705 -6.8448022867 643986
LOC643988 -0.0404879 6.09557 -1.764621 0.08071039 0.2641944 -5.4574673377 643988
LOC643990 0.01623194 6.034271 0.7337296 0.464847 0.7377985 -6.7240031391 643990
LOC643993 0.01275773 5.983246 0.5522774 0.5820025 0.8152828 -6.8403818383 643993
LOC643995 -0.013890518 6.0941405 -0.5307063 0.5830862 0.7533707 -6.653522221 643995
LOC643997 0.1646099 6.541766 3.542988 0.0006052564 0.00470173 -1.0762945105 643997
LOC643998 0.02491549 6.110082 1.158966 0.2492567 0.5370631 -6.3247004594 643998
LOC644001 0.01515476 6.052953 0.6247345 0.533582 0.7839964 -6.7978165486 644001
LOC644003 -0.003271151 6.0617 -0.1527683 0.8788918 0.9580321 -6.9812287517 644003
LOC644005 0.06189782 5.904211 2.555847 0.01211293 0.06115796 -3.825267982 644005
LOC644008 -0.03498439 5.952651 -1.333382 0.1854652 0.4531521 -6.1103730576 644008
LOC644010 -0.00090244 6.00104833333333 -0.145739133333333 0.433482766666667 0.6996739 -6.64058058553333 644010
LOC644011 -0.00157331 6.167297 -0.05605471 0.9554112 0.9838191 -6.9913430447 644011
LOC644012 0.01887942 6.140727 0.7141935 0.4767874 0.74614 -6.7380959886 644012
LOC644014 -0.07490133 5.769683 -2.886931 0.004776511 0.02818176 -2.9862011201 644014
LOC644019 0.0249980948333333 6.091697 1.0401892 0.393168698333333 0.578361533333333 -6.17217434065 644019
LOC644021 0.007945276 6.038509 0.3270647 0.7443092 0.8999263 -6.9393668567 644021
LOC644023 -0.01539481 6.159862 -0.6022796 0.5483645 0.7947379 -6.8115641749 644023
LOC644024 0.009324854 6.068222 0.4592419 0.6470668 0.8520609 -6.8873942005 644024
LOC644026 0.06128737 5.973412 2.015014 0.04661343 0.1775631 -5.000145511 644026
LOC644029 0.4747862 10.578001 5.9376645 4.5857225e-08 9.338674e-07 8.09339242705 644029
LOC644031 -0.02281957 6.173976 -0.7739073 0.4408291 0.7199469 -6.6938381507 644031
LOC644033 0.2286927 8.982099 3.484132 0.0007368928 0.005594773 -1.260300122 644033
LOC644035 -0.02870797 5.928903 -1.2183581 0.332415515 0.51939555 -6.01914227495 644035
LOC644038 -0.035633505 6.0255155 -1.6797485 0.108010285 0.3079682 -5.56575141975 644038
LOC644039 0.2709346 11.57609 2.827515 0.005677042 0.0326284 -3.1432024114 644039
LOC644043 0.06674319 6.138736 2.238247 0.02744414 0.1183279 -4.5455736609 644043
LOC644044 -0.005828874 6.186954 -0.2469669 0.805445 0.9276596 -6.9623766837 644044
LOC644045 0.01951036 6.010819 0.7585937 0.4498972 0.7267789 -6.7055228219 644045
LOC644046 0.00651573 5.964261 0.2627019 0.7933261 0.9213853 -6.9583625186 644046
LOC644047 -0.009772026 6.124896 -0.3996661 0.6902631 0.873889 -6.912975742 644047
LOC644048 -0.05898327 6.137005 -2.432493 0.0167899 0.07983407 -4.1150966531 644048
LOC644055 0.03777433 6.192884 1.590375 0.1149376 0.3362765 -5.7420988764 644055
LOC644056 0.01720903 6.088538 0.7230212 0.471371 0.7428387 -6.7317745357 644056
LOC644057 0.004263763 6.194652 0.139965 0.8889719 0.9616939 -6.9831055878 644057
LOC644058 -0.004533069 6.003126 -0.1834224 0.8548416 0.9464245 -6.9760684301 644058
LOC644059 -0.001420655 5.95079 -0.06857962 0.9454625 0.9808022 -6.9905611949 644059
LOC644063 0.23945005 6.3846095 1.0553305 0.0055074885805 0.02830739325 -0.37320119545 644063
LOC644064 0.02093681 6.087802 0.7544779 0.4523526 0.7287241 -6.7086239855 644064
LOC644065 -0.007805466 5.846062 -0.2992021 0.7654128 0.9102854 -6.9480980791 644065
LOC644066 0.03045983 6.093389 1.224374 0.2237158 0.5047323 -6.2477340306 644066
LOC644068 0.02661944 5.94314 1.060928 0.2913031 0.5847139 -6.4323550899 644068
LOC644072 -0.02015479 6.092214 -0.7838749 0.4349843 0.7159187 -6.6861086504 644072
LOC644074 0.03710015 5.987259 1.503739 0.1358308 0.3752876 -5.8731662892 644074
LOC644075 0.01238493 5.940393 0.4741706 0.636422 0.8458312 -6.8804301658 644075
LOC644083 -0.01102567 6.042538 -0.37228 0.7104798 0.8839347 -6.9235484634 644083
LOC644086 -0.00199471933333333 6.01377266666667 -0.0782712333333333 0.804264 0.925353566666667 -6.95748555446667 644086
LOC644087 0.02043815 5.984556 1.072145 0.2862607 0.578875 -6.4205082224 644087
LOC644088 0.00912695 6.073535 0.4251976 0.6716151 0.8645203 -6.90244557 644088
LOC644090 -0.00694045 6.110419 -0.2920705 0.7708437 0.9121201 -6.9502082429 644090
LOC644091 -0.02761791 5.921067 -1.103118 0.272649 0.5631945 -6.3871631909 644091
LOC644093 0.02563045 6.144255 1.0680045 0.29487945 0.58037795 -6.41116471795 644093
LOC644094 0.003759256 6.271972 0.137087 0.8912403 0.9623328 -6.9835048811 644094
LOC644096 0.164417733333333 7.08087333333333 4.24786866666667 0.00038815691 0.00283663670333333 1.44549532803333 644096
LOC644097 -0.01039964 5.922853 -0.3532232 0.7246718 0.8906318 -6.9304641307 644097
LOC644098 -0.03142883 6.032472 -1.336361 0.1844936 0.451772 -6.1064612079 644098
LOC644099 0.01987744 6.007269 0.9832741 0.3278686 0.6221347 -6.5110259111 644099
LOC644100 -0.0098955595 6.0785405 -0.43404895 0.67220035 0.85491035 -6.87638528375 644100
LOC644105 0.002345565 6.0937815 0.0551433 0.5953045 0.8222612 -6.84894402385 644105
LOC644111 0.02987559 5.961006 1.189915 0.2369244 0.5215358 -6.2887936727 644111
LOC644112 0.02443765 6.075746 0.9597726 0.339507 0.6330316 -6.5336802621 644112
