GENE logFC AveExpr t P.Value adj.P.Val B
IKIP 121457 -1.4521525 5.0233437 -5.110175 0.0029146995 0.043074011 -1.1944526805
IKZF1 10320 -0.162417233333333 2.8714209 -0.2522537 0.7139678 0.871378885333333 -6.76481568633333
IKZF2 22807 -0.729967165666667 5.97393013333333 -1.86619029666667 0.352347733333333 0.449419900333333 -4.94380923966667
IKZF3 22806 0.06997847 0.6630385 0.3803707 0.7167712 0.876178175 -6.784607249
IKZF4 64375 -0.21683765 3.9334363 -1.55366425 0.215568145 0.393305106 -4.4630606875
IKZF5 64376 -0.40459695 7.21826685 -1.73590315 0.263903085 0.4664743435 -5.3208566155
IL10 3586 0.262466141 1.00837414 0.68741121 0.56044757 0.7332379174 -6.2800952263
IL10RA 3587 0.442553866666667 6.0159176 1.24308423333333 0.268607033333333 0.555618499333333 -6.063015715
IL10RB 3588 -0.1889407 8.7209774 -0.8500136 0.4279254 0.716126429 -6.473621279
IL11 3589 1.130838 4.7122307 3.293688 0.01653612 0.113918864 -3.319960478
IL11RA 3590 -0.70784035 8.83772075 -1.8253425 0.1345386 0.368428005 -5.326414915
IL12A 3592 0.1516364 0.9445694 0.2271148 0.8278746 0.92429564 -6.837465453
IL12B 3593 -0.214708 1.2103952 -0.3686583 0.7250401 0.879153095 -6.789553437
IL12RB1 3594 0.154216305 3.4000126 0.58936535 0.61959415 0.794134555 -6.566277105
IL12RB2 3595 0.440976 3.2961074 0.4213028 0.6882087 0.863473692 -6.766169658
IL13 3596 -0.6565683 1.1002046 -1.366643 0.2207295 0.504910687 -5.930142372
IL13RA1 3597 0.42856083 8.6088046 1.3778212 0.327652453333333 0.525435652 -5.75591106333333
IL13RA2 3598 -2.112766 5.0818515 -1.421955 0.2048738 0.483734233 -5.863142986
IL15 3600 -1.375886 7.1533019 -3.625924 0.01101765 0.09081846 -2.886228339
IL15RA 3601 -0.6536876 6.417691 -1.417544 0.2060991 0.485405213 -5.868535093
IL16 3603 -0.403035176666667 3.1967335 -1.31644855333333 0.51699641 0.631718519333333 -5.56506068866667
IL17A 3605 -0.4659296 1.7419578 -1.034176 0.3409231 0.638944383 -6.299618524
IL17B 27190 -2.477724 4.9923423 -4.633981 0.003562297 0.050227736 -1.672542844
IL17C 27189 0.6005788 2.4662611 0.6273635 0.5535289 0.795666867 -6.647172299
IL17D 53342 -0.5861076 5.9938344 -1.41674 0.2063229 0.485730689 -5.869515992
IL17F 112744 0.5032223 2.1994204 0.6434563 0.5437212 0.789918052 -6.636121577
IL17RA 23765 -0.3494701 9.4405058 -1.114358 0.3077601 0.604968744 -6.21641749
IL17RB 55540 -0.08801666 4.584784 -0.1705585 0.8701767 0.942544063 -6.850358005
IL17RC 84818 -0.06968911 9.8867423 -0.278779 0.7897731 0.907392438 -6.822543796
IL17RD 54756 -0.37209733 6.05791315 -0.84690303 0.5310698 0.6698443965 -6.134782317
IL17RE 132014 -1.352274 7.3868394 -3.229377 0.01792305 0.119138508 -3.405658711
IL18 3606 -0.96941455 4.30447758 -2.703274 0.0533985978 0.2040389476 -4.134518195
IL18BP 10068 -0.28111675 5.0393769 -0.9635666 0.3842284 0.664987557 -6.350145942
IL18R1 8809 -0.654017645 3.09165535 -1.142011145 0.50415683 0.605925435 -5.742438072
IL18RAP 8807 -1.515951 3.3876887 -3.664121 0.01052657 0.08862043 -2.837378986
IL19 29949 -0.187914 0.7561805 -0.3490254 0.7389918 0.884461815 -6.797512498
IL1A 3552 0.24333094 0.84139413 0.70702594 0.436846657 0.6439930833 -6.0191072983
IL1B 3553 -0.265888792 4.26859216 -0.412944876 0.71470892 0.8601870878 -6.7113290924
IL1F10 84639 0.1357087 3.9514766 0.3841353 0.7141223 0.87513178 -6.782986166
IL1F5 26525 1.651432 1.95558375 1.447629 0.19996135 0.4760839125 -5.829082759
IL1F6 27179 0.4536256 2.2163326 0.5158127 0.6244332 0.833003221 -6.716895847
IL1F7 27178 -0.4346699 1.9544052 -0.8891601 0.4081468 0.701490219 -6.43877498
IL1F8 27177 0.1135833 1.9638419 0.2047331 0.8445488 0.931674743 -6.843000094
IL1F9 56300 0.154444 0.9776688 0.198633 0.8491091 0.933511939 -6.84441049
IL1R1 3554 -0.5887467 7.78586875 -0.7671405 0.49857865 0.734275602 -6.491383443
IL1R2 7850 -2.123817 4.07197075 -4.451311 0.0057534065 0.060889165 -1.917533807
IL1RAP 3556 -0.45645215 4.18593025 -1.0989685 0.1610792075 0.40945361825 -5.51463448275
IL1RAPL1 11141 4.298962 4.7658737 6.229725 0.0007910638 0.023747718 -0.062380883
IL1RAPL2 26280 0.05742139 0.5299283 0.3028545 0.7722256 0.898970922 -6.814575912
IL1RL1 9173 0.1241881 1.5207091 0.2643522 0.800354 0.912544965 -6.827010423
IL1RL2 8808 -1.199244 3.2301559 -1.718449 0.1365137 0.385397657 -5.484539883
IL1RN 3557 0.5527589 1.59116035 1.26626735 0.354750085 0.566359094 -5.902869403
IL2 3558 -0.0944480327272727 0.961173118181818 -0.133888745454545 0.502102354545455 0.70836158 -6.35985949627273
IL20 50604 0.8599479 3.6456599 0.7430384 0.4855213 0.755130533 -6.562435023
IL20RA 53832 0.1336234 8.6127958 0.4766843 0.6504502 0.846148626 -6.738414234
IL20RB 53833 -0.9555216 5.4966703 -1.178462 0.2832249 0.577940499 -6.147002158
IL21 59067 -0.08938852 3.327188 -0.1079754 0.9175352 0.963490748 -6.860383805
IL21R 50615 -0.119624 3.8849137 -0.2125814 0.8386914 0.929443947 -6.841123661
IL22 50616 0.443879 1.2975656 1.022405 0.3460282 0.643958942 -6.311473929
IL22RA1 58985 -1.5505192 3.80048515 -4.381131 0.0693674843 0.2028413005 -2.428913008
IL22RA2 116379 -0.05063229 2.8181748 -0.241739 0.817032 0.919752755 -6.833544656
IL23A 51561 0.04464027 5.6452559 0.1479709 0.887213 0.949907065 -6.854492582
IL23R 149233 -1.073705 0.8847193 -1.79328 0.1230897 0.362778085 -5.384907996
IL24 11009 0.1390498 0.6314184 0.36084585 0.73205775 0.8827260785 -6.787289924
IL25 64806 -0.7273197 2.4867189 -0.8913544 0.4070588 0.70059358 -6.436785984
IL26 55801 0.5257598 2.6651277 0.8729864 0.416234 0.707530244 -6.453318973
IL27 246778 -0.7128042 7.5943432 -0.6122564 0.5628351 0.800002174 -6.657322874
IL27RA 9466 -1.4881015 6.1967986 -5.058986 0.0026011805 0.0416262005 -1.2242288515
IL28A 282616 -0.3925127 3.9208933 -0.4758689 0.6509984 0.846328419 -6.738845983
IL28B 282617 0.2337617 2.4887065 0.2221352 0.8315763 0.926172908 -6.83874566
IL28RA 163702 -1.9970535 6.18342485 -4.222429 0.0073288895 0.069540649 -2.1828642355
IL29 282618 0.1557881 2.3448399 0.1367203 0.8957239 0.954176927 -6.856334793
IL2RA 3559 0.0418542 1.7653278 0.0443984 0.8603443 0.9386841195 -6.846535439
IL2RB 3560 -1.598417 5.2186748 -3.079891 0.02166442 0.132526345 -3.606842911
IL2RG 3561 0.4364156 2.3546269 0.3478839 0.7398064 0.884632242 -6.797962412
IL3 3562 -0.2036453 1.2507217 -0.2038311 0.8452227 0.932033237 -6.843211288
IL31 386653 -0.1238789 0.8292846 -0.1785983 0.8641307 0.939623052 -6.848746204
IL31RA 133396 -0.19424945 1.53313035 0.1997443 0.6207257 0.82436769 -6.6869612825
IL32 9235 -0.7399917 7.1024575 -1.36793 0.2203482 0.504294805 -5.928598815
IL33 90865 -1.959095 7.9918327 -8.803923 0.0001191314 0.010894794 1.898946153
IL34 146433 -1.01677 3.6299072 -3.748098 0.009530074 0.083952931 -2.730754008
IL3RA 3563 -0.2231754 6.78686275 -0.7249285 0.5206878 0.7506540925 -6.525488613
IL4 3565 -0.207336045 1.83692906 -0.22365713 0.67471775 0.8451396378 -6.6980476664
IL4I1 259307 1.158817 6.7461667 0.9709845 0.3690531 0.666062361 -6.362134472
IL4R 3566 -1.156801 11.6941834 -3.903401 0.007951785 0.076100299 -2.536393143
IL5 3567 0.4364662 2.4553152 0.4603348 0.6614863 0.852226777 -6.746940272
IL5RA 3568 1.817984 1.6289659 2.3327065 0.18573873 0.3730957035 -4.583067255
IL6 3569 0.28954224 2.246346 0.49238054 0.50441571 0.7243251107 -6.4373130493
IL6R 3570 -1.80844 8.2074464 -2.848405 0.02924085 0.158035417 -3.923249433
IL6ST 3572 -0.6974428025 5.4539099 -2.716690725 0.277031684 0.36372942325 -3.946344743
IL7 3574 -2.388761 4.8067421 -3.349533 0.01542694 0.109845566 -3.245983151
IL7R 3575 -1.371564 6.0189984 -3.982319 0.007263121 0.072963493 -2.439053944
IL8 3576 0.0820633 0.719662 0.4537564 0.6659533 0.854141431 -6.750292658
IL8RA 3577 -0.4154386 1.9214518 -0.4863138 0.6439951 0.843402808 -6.733263642
IL8RB 3579 -0.69841165 2.2927531 -1.46223235 0.286575995 0.447916526 -4.8262148655
IL8RBP 3580 -1.063436 3.014659 -2.119568 0.07832754 0.277871707 -4.938668621
IL9 3578 -0.2876562 1.3975759 -0.5001812 0.6347588 0.838183231 -6.725679445
IL9R 3581 0.3090372 4.1237843 1.48071 0.1891817 0.463330524 -5.790566676
ILDR1 286676 -0.3520981 13.8337807 -1.798772 0.1221571 0.361175823 -5.377545439
ILF2 3608 -0.06467141 12.1870305 -0.1757533 0.866269 0.940502175 -6.849324965
ILF3 3609 -0.05054408 9.69138276666667 -0.292005733333333 0.4825091 0.727600839 -6.48012038833333
ILK 3611 -1.380741 10.6116577 -4.9409275 0.002637967 0.042914307 -1.3361967115
ILKAP 80895 -0.01706804 8.1302723 -0.0795277 0.9391989 0.973624121 -6.863457566
ILVBL 10994 -0.5059291 10.0525667 -2.048114 0.08646482 0.293596881 -5.037610799
IMMP1L 196294 0.4068581 7.9071441 2.283189 0.06252299 0.245633837 -4.710685047
IMMP2L 83943 0.136046625 8.96093665 0.5211928 0.636485 0.8268855825 -6.6718220965
IMMT 10989 0.41474675 9.58347475 2.2241845 0.090391535 0.2851852495 -4.783481026
IMP3 55272 0.182683 11.8825401 0.6360815 0.5482021 0.792896506 -6.64121602
IMP4 92856 -0.6086813 7.55387875 -2.957253 0.0618241115 0.210308054 -3.825094483
IMP5 162540 0.3216676 1.9525647 0.3484886 0.7393749 0.88455922 -6.797724271
IMPA1 3612 0.93228265 9.2987232 2.673835 0.03762033 0.1818068715 -4.1656292915
IMPA2 3613 -0.33034 11.3088713 -0.5957171 0.5731324 0.804786772 -6.66818536
IMPACT 55364 0.2324031 8.25499905 0.6131216 0.41293455 0.6310446545 -6.159045223
IMPAD1 54928 0.46623178 7.09343326 1.27292166 0.257626406 0.4983989994 -5.6683264768
IMPDH1 3614 -0.0564088433333333 8.252045 -0.204052593333333 0.8206279 0.920185995 -6.807548249
IMPDH2 3615 1.243687 10.8936421 2.797239 0.0312756 0.164644045 -3.993863016
IMPG1 3617 0.7849057 0.9455384 1.578808 0.1654556 0.430325885 -5.666489961
IMPG2 50939 -0.2483839 0.7285467 -0.6013101 0.5696376 0.803101728 -6.664541489
INA 9118 -1.227536 3.0891055 -1.781865 0.1250504 0.366095894 -5.400189485
INADL 10207 -0.48141496 6.11953614 -1.6326201 0.186472236 0.4361589248 -5.5624366628
INCENP 3619 0.5532306 6.7231027 2.502899 0.04634386 0.20530383 -4.403396051
INE1 8552 -0.370789455 6.91275035 -1.563080035 0.48070846 0.5545631055 -5.2580450485
INF2 64423 -0.6252608 6.9162945 -1.563519 0.208190116666667 0.462850184 -5.64340232433333
ING1 3621 0.09908822 7.140265 0.5118906 0.4612985 0.6818700705 -6.3313603635
ING2 3622 -0.0353703 9.7046861 -0.1198575 0.9085084 0.959771933 -6.85882486
ING3 54556 -0.02671259 9.4444847 -0.1438918 0.8902969 0.951443755 -6.855177207
ING4 51147 0.091396 9.4728616 0.4812991 0.6473525 0.844803262 -6.735957768
ING5 84289 0.33831842 7.437236075 1.4380758 0.3426717875 0.51987926725 -5.4915968775
INGX 27160 -0.06497343 2.6640051 -0.2916402 0.7803816 0.902407782 -6.818367106
INHA 3623 -0.6329425 2.7794702 -1.24529 0.2594493 0.550408115 -6.072106098
INHBA 3624 0.3746695 8.8225952 0.8238502 0.4415332 0.726126919 -6.496225408
INHBB 3625 -0.4935979 10.5252002 -1.216927 0.27249815 0.5642447165 -6.099825003
INHBC 3626 -0.14347109 4.21655515 -0.5125881 0.46917155 0.686875801 -6.343874251
INHBE 83729 -0.8706456 2.2318966 -0.9810901 0.3644347 0.661359768 -6.35232601
INMT 11185 -1.932806 3.7071229 -6.429613 0.0006688487 0.021776739 0.115245125
INO80 54617 -0.4453649 8.2685525 -2.0877525 0.081932995 0.2848341475 -4.9827339565
INO80B 83444 0.8048486 4.7922083 3.823591 0.00872313 0.079968012 -2.635813475
INO80C 125476 -0.5533931 8.3048978 -2.013894 0.09066131 0.301567941 -5.084804649
INO80D 54891 -0.53593635 4.20604605 -2.135882 0.08401169 0.283733284 -4.912036818
INO80E 283899 -0.1276136 9.4855153 -0.4211467 0.6883166 0.863550209 -6.766243318
INPP1 3628 -1.801849 6.1703071 -4.960709 0.002550019 0.041970421 -1.313030896
INPP4A 3631 0.7841521 4.5077114 1.671409 0.1456713 0.399670431 -5.546456241
INPP4B 8821 1.6314247 5.76788495 3.0671375 0.028240975 0.147221317 -3.64036123
INPP5A 3632 -0.3276421 7.5845239 -0.9446539 0.41836385 0.667646232 -6.3249670095
INPP5B 3633 0.23398895 2.8118018 0.219656 0.051260195 0.216570803 -4.460276617
INPP5D 3635 -0.63935969 5.2619404 -1.71186705 0.483658085 0.5442268345 -5.0477642985
INPP5E 56623 -0.187521775 6.9204403 -0.96055205 0.50028637 0.6291085355 -5.957231081
INPP5F 22876 -1.457954 6.18962895 -6.1276 0.00086349185 0.024769381 -0.1550804145
INPP5J 27124 0.8709805 5.0491397 2.030946 0.088545 0.297840678 -5.061304925
INPP5K 51763 0.113312235 9.6824303 0.39840975 0.56467785 0.770039632 -6.5492871285
INPPL1 3636 0.3975602 10.45432 1.647479 0.1505546 0.407109114 -5.577719702
INS 3630 0.1322911 3.103464 0.2779815 0.7903568 0.907571621 -6.822796763
INSIG1 3638 -1.078858 8.9786238 -2.15134 0.07496485 0.272030853 -4.894528741
INSIG2 51141 -1.1015316 7.14950175 -3.660383 0.0182725605 0.110642678 -2.899882936
INSL3 3640 -1.0442773 3.43623215 -2.711994 0.052597135 0.203635766 -4.1255842865
INSL4 3641 1.983426 1.7004351 1.363812 0.2215702 0.505575042 -5.933535007
INSL5 10022 3.482923 3.8158244 6.503722 0.0006291492 0.021166779 0.17986992
INSL6 11172 0.4512941 2.0472804 0.4267892 0.6844214 0.862136645 -6.763563266
INSM1 3642 0.01469565 3.2646221 0.59160705 0.46119745 0.666843749 -6.267770261
INSM2 84684 -2.550146 1.9085883 -1.354114 0.2244725 0.509224908 -5.945129418
INSR 3643 -0.01386065 7.4522311 -0.03824174 0.9707355 0.987071589 -6.866261849
INSRR 3645 -1.046149 1.5125462 -1.020537 0.3468441 0.644533769 -6.313346717
INTS1 26173 0.1566491 4.2595443 0.7098634 0.5044271 0.767691684 -6.587978895
INTS10 55174 -0.4247896 11.7622669 -1.166291 0.2877511 0.583079667 -6.160370237
INTS12 57117 -0.3174248 8.6437828 -1.435978 0.2010232 0.478787542 -5.845949047
INTS2 57508 -0.5508696 4.3831724 -2.187332 0.07133406 0.264648039 -4.844438399
INTS3 65123 -0.5879624 7.9857084 -1.391213 0.2135531 0.495188501 -5.900546214
INTS4 92105 -0.20054625 6.5139965 -0.93556725 0.4126645 0.6719518475 -6.350394931
INTS5 80789 0.9704872 7.2595213 4.148336 0.00602151 0.06609787 -2.237459022
INTS6 26512 -0.811114966666667 7.47352183333333 -3.369219 0.017441406 0.114391743333333 -3.23359005433333
INTS7 25896 0.2509454 6.2211498 0.8789612 0.4132326 0.705597435 -6.447970101
INTS8 55656 0.4458883 8.0455073 1.222774 0.2672588 0.55937285 -6.097616891
INTS9 55756 -0.3808493 10.1914053 -1.234569 0.2631427 0.554870121 -6.084287452
INTU 27152 -0.777762 7.4080589 -2.549194 0.04353567 0.198516833 -4.338711587
INVS 27130 0.3519499 7.5627819 1.569735 0.1675263 0.432929292 -5.678106195
IP6K1 9807 -0.2217609 5.8825243 -0.9347232 0.3860038 0.681838074 -6.39671743
IP6K2 51447 -0.00459313333333332 9.27902693333333 0.326776933333333 0.303962606666667 0.464838583333333 -5.37655421566667
IP6K3 117283 -4.181694 4.0437713 -9.162687 9.511714e-05 0.009983667 2.124220966
IPMK 253430 -0.1036734 1.6463693 -0.168392 0.8718076 0.943375447 -6.850779767
IPO11 51194 0.07177194 5.2200613 0.3286324 0.7535998 0.890906094 -6.805336624
IPO13 9670 0.3924221 7.3800478 1.735534 0.1333281 0.380338731 -5.461909831
IPO4 79711 1.286052 9.2764127 3.342398 0.01556399 0.110446671 -3.255411772
IPO5 3843 -0.15984607 8.67244895 -0.43682195 0.6308395 0.806044748 -6.596866087
IPO7 10527 0.04504415 7.07586705 0.19598 0.39641825 0.679121141 -6.385820501
IPO8 10526 -0.43715895 4.84253242 -1.9864806 0.10827281 0.3247019705 -5.1118626844
IPO9 55705 -0.06352335 7.1982598 -0.1750722 0.3984512 0.682644209 -6.395982027
IPP 3652 0.3050811 8.4480908 1.430604 0.2024909 0.480694428 -5.852547887
IPPK 64768 0.7449815 7.2827728 2.626919 0.03921891 0.187209588 -4.230286896
IPW 3653 0.3054391 8.3897982 1.255982 0.2558113 0.546268782 -6.059897099
IQCA1 79781 -2.8830525 5.57469365 -6.7667065 0.00155074515 0.028405149 0.184600136
IQCB1 9657 0.0114776 9.0506345 0.03531663 0.9729728 0.988072946 -6.866385999
IQCC 55721 0.3392805 5.6347067 1.413219 0.2073067 0.486975587 -5.873812967
IQCD 115811 0.5366834 7.0544137 1.949556 0.09911722 0.318061149 -5.17313618
IQCE 23288 0.0532513 8.18514935 0.19863685 0.54144425 0.781983 -6.6054020055
IQCF1 132141 -0.221859 0.98920375 -0.12428845 0.4627414 0.7364017475 -6.5175953355
IQCF2 389123 0.2797877 2.4744618 0.5610611 0.5950716 0.817379156 -6.690086224
IQCF3 401067 0.2878333 2.4594517 0.3815904 0.7159125 0.875942513 -6.784083682
IQCF5 389124 0.0760461 0.5983156 0.4199838 0.6891207 0.863650286 -6.766791505
IQCF6 440956 0.3011746 1.9940124 0.4317764 0.6809875 0.860892233 -6.761166529
IQCG 84223 1.247412 5.6766867 4.166177 0.0059847075 0.065913549 -2.217611182
IQCH 64799 1.1632875 3.3292474 2.82761666666667 0.0851580433333333 0.242367204666667 -3.98553328633333
IQCK 124152 0.3635308 9.5884708 1.654228 0.1491617 0.4051477 -5.568919237
IQGAP1 8826 -0.8203392 8.7869357 -3.305021 0.01630413 0.113138668 -3.304914124
IQGAP2 10788 -0.4936937 9.3333817 -1.212478 0.2708973 0.563395708 -6.109189331
IQGAP3 128239 0.2442976 6.5324807 1.027153 0.3439617 0.641832812 -6.306703515
IQSEC1 9922 0.05094395 6.74837915 0.06887575 0.59422575 0.817129686 -6.686026106
IQSEC2 23096 -0.26042065 8.96930865 -0.85548255 0.4680696 0.6978252955 -6.390506578
IQSEC3 440073 -0.3950779 1.8597111 -0.1181181 0.4497548 0.72767959 -6.498588755
IQUB 154865 0.7975178 3.73389555 2.341374 0.11646503 0.30630733 -4.611058727
IQWD1 55827 1.452536 9.2593425 6.162306 0.0008379168 0.024434405 -0.123405647
IRAK1 3654 0.7943045 10.4129231 1.934375 0.1012255 0.32219064 -5.193892319
IRAK1BP1 134728 -0.9725833 5.7181573 -2.988327 0.02437112 0.141429128 -3.731344763
IRAK2 3656 -0.08143573 1.5823145 -0.3136783 0.7643837 0.895520463 -6.810785332
IRAK3 11213 -2.0583165 3.8523786 -5.477649 0.0024614769 0.038328022 -0.8493077295
IRAK4 51135 0.2793642 5.3813611 0.9595041 0.37760815 0.670154859 -6.367907662
IREB2 3658 -0.182999375 3.6657181 -0.801322415 0.56631125 0.710962971 -6.283494331
IRF1 3659 -1.135712 7.1224041 -1.808726 0.1204846 0.358092456 -5.364184991
IRF2 3660 -0.32809659 5.90488915 -1.46223665 0.43780872 0.552837973 -5.4750463245
IRF2BP1 26145 0.1793283 8.2302539 0.7699767 0.4705309 0.746010981 -6.540982857
IRF2BP2 359948 -0.0874516633333333 10.5765783333333 -0.2718196 0.562810066666667 0.745433516 -6.44497702566667
IRF3 3661 -0.243077 9.4484345 -0.8655982 0.4199678 0.71022811 -6.459894221
IRF4 3662 0.21117735 1.16471265 0.551313 0.57639945 0.7520220055 -6.4650004905
IRF5 3663 0.99475785 5.73444085 0.653056 0.10944377 0.313037796 -4.890573501
IRF6 3664 -0.2104591 8.5324498 -1.040638 0.3381463 0.636162887 -6.293069579
IRF7 3665 0.2677425 7.9006256 0.82072675 0.45869765 0.718510077 -6.470330734
IRF8 3394 0.04373935 4.2294566 0.1745204 0.8671961 0.941080608 -6.849572912
IRF9 10379 -0.151832165 7.09216035 -0.194300155 0.79827125 0.9115280405 -6.803424494
IRGC 56269 0.1975942 3.9447079 0.4517703 0.667305 0.854848353 -6.751295994
IRS1 3667 -3.816096 5.7516822 -3.7512745 0.009582519 0.084013585 -2.7276532735
IRS2 8660 0.313417333333333 7.72069956666667 0.8591449 0.444757466666667 0.703466845 -6.426676559
IRS4 8471 1.336953 0.9256476 2.162919 0.0737765 0.26960835 -4.878423705
IRX1 79192 -0.563068 3.6984851 -1.955442 0.09831169 0.316695344 -5.165079055
IRX2 153572 -0.7241085 8.5444014 -1.487837 0.1873559 0.460764048 -5.78167004
IRX3 79191 -0.468790935 9.3365504 -0.581755205 0.63936645 0.793160531 -6.52926628
IRX4 50805 -0.80510135 9.88833245 -1.4041974 0.296921485 0.526442608 -5.771951643
IRX5 10265 -0.97749005 8.2224244 -1.2249755 0.27547505 0.562997268 -6.0827882765
IRX6 79190 0.14399173 2.4385249 0.407333066666667 0.705564966666667 0.866445022 -6.747655478
ISCA1 81689 0.484917125 6.51599875 2.11084705 0.2116027625 0.387258979 -4.8394990855
ISCA2 122961 -0.2795094 11.6064694 -1.098643 0.3140405 0.611891661 -6.23305105
ISCU 23479 -0.515366 12.8448623 -1.547055 0.1728102 0.440365304 -5.707022885
ISG15 9636 0.7577092 11.3386941 0.6395766 0.5460756 0.791779778 -6.638808027
ISG20 3669 -1.154524 10.9364286 -1.727545 0.1348087 0.382913556 -5.472501569
ISG20L2 81875 -0.2174751 8.4597322 -0.6019385 0.5692457 0.802901279 -6.664130169
ISL1 3670 -3.647823 5.6693621 -8.62624 0.0001335816 0.011112275 1.783597681
ISL2 64843 0.2127108 1.8538929 0.2255583 0.8290312 0.924855385 -6.837868629
ISLR 3671 -1.497875 9.7817938 -3.099641 0.02112454 0.130531407 -3.580110371
ISLR2 57611 -1.174212 4.4653268 -3.3917 0.0146436 0.106715474 -3.190403259
ISM1 140862 -1.10957 4.6189247 -2.629327 0.03909267 0.186861882 -4.226932276
ISM2 145501 -2.034742 2.9271708 -4.128132 0.006159094 0.067003286 -2.26176122
ISOC1 51015 -0.5456534 10.0807526 -2.07419 0.08339974 0.287021348 -5.001560019
ISOC2 79763 0.26220115 10.8062628 1.1882605 0.28330615 0.575493042 -6.131028333
ISX 91464 1.153163 5.9426276 1.399341 0.2112262 0.492054714 -5.890696523
ISY1 57461 -0.64490695 7.2495099 -2.1097955 0.10003948 0.305312576 -4.9399502725
ISYNA1 51477 -1.488817 7.4402836 -5.547002 0.001449842 0.031743505 -0.707596637
ITCH 83737 -0.38015425 7.5230319 -1.82983865 0.3591409635 0.472143608 -4.570393468
ITFG1 81533 -0.2285861 9.5540917 -0.7550762 0.4787824 0.751051101 -6.552926564
ITFG2 55846 -1.09804415 7.22421285 -5.389241 0.0036732432 0.0450690355 -0.9947367995
ITFG3 83986 -0.2316154 10.6385682 -1.079032 0.3220265 0.620363063 -6.253587559
ITGA1 3672 -1.418604 8.1973403 -2.4038 0.05301726 0.221286232 -4.542004152
ITGA10 8515 0.6050028 2.4954241 0.7972284 0.4556984 0.735721092 -6.518647392
ITGA11 22801 -0.1724616 6.5798504 -0.5443943 0.6057939 0.823124512 -6.700198704
ITGA2 3673 -1.3385366475 3.97976025 -3.1817447325 0.24793188425 0.312247905 -3.36919186675
ITGA2B 3674 -0.16702865 3.20976285 -0.5559026 0.60778335 0.8161725315 -6.6695034235
ITGA3 3675 -1.291053 7.1692613 -3.368903 0.01506153 0.108150371 -3.220422183
ITGA4 3676 -0.1360313 1.9460773 -0.120658 0.9079008 0.959693775 -6.858714019
ITGA5 3678 -1.534494 6.6467798 -7.078331 0.0003985437 0.017137232 0.659409046
ITGA6 3655 -1.098999 9.5787993 -2.496978 0.04671662 0.206050226 -4.411673678
ITGA7 3679 -2.540669 11.1527525 -11.45228 2.659212e-05 0.008596569 3.354637858
ITGA8 8516 -2.686384 7.3613398 -2.470803 0.04840265 0.210232066 -4.448272489
ITGA9 3680 -1.64844633333333 5.5702245 -3.82333533333333 0.0147941226666667 0.0983196383333333 -2.6988709
ITGAD 3681 1.9347605 2.11292585 2.653632 0.048649685 0.200403556 -4.2000976215
ITGAE 3682 0.2456325 9.2249332 0.9869408 0.3617818 0.658892789 -6.346613896
ITGAL 3683 -0.551043 3.4332628 -1.3868675 0.22401625 0.5017251335 -5.8942524575
ITGAM 3684 -0.09349562 5.6102715 -0.3580263 0.7325816 0.881825658 -6.793915357
ITGAV 3685 -0.876355781818182 9.37797322727273 -2.35118563636364 0.0616060763636364 0.237534714545455 -4.61332599127273
ITGAX 3687 0.83706425 5.38134355 1.654975 0.1492475 0.4051326205 -5.567691961
ITGB1 3688 -0.989477315384615 9.99401836923077 -5.25449453846154 0.00266170666923077 0.0399140353846154 -1.03439955869231
ITGB1BP1 9270 -0.1798685 10.4885924 -0.6159125 0.5605741 0.799067579 -6.654886278
ITGB1BP2 26548 -2.313004 7.1769372 -5.414293 0.001641292 0.033721018 -0.8403172
ITGB1BP3 27231 -0.3595804 3.1578966 -0.4311596 0.6814117 0.861026922 -6.761464352
ITGB2 3689 0.16109304 7.76827956 0.3489523 0.73935783 0.8851396404 -6.7963463995
ITGB3 3690 -2.52552656666667 2.93305821666667 -6.808042975 0.037111571255 0.0829871465833333 0.0121835495833333
ITGB3BP 23421 0.379822 7.86774395 0.88988208 0.41129506 0.6981750167 -6.4322644938
ITGB4 3691 -3.283802 7.9723043 -8.389885 0.0001560572 0.011611429 1.626111667
ITGB5 3693 0.0318674 11.3510099 0.1177094 0.9101393 0.96051768 -6.859118688
ITGB6 3694 -0.513704 3.0394393 -1.457661 0.1952001 0.471073367 -5.819202579
ITGB7 3695 -1.22084 6.9668093 -2.331237 0.05853912 0.235684835 -4.643516507
ITGB8 3696 -1.9951657125 3.134970625 -2.53177475 0.24989901225 0.34461177425 -4.20504908075
ITGBL1 9358 1.041262 6.4062171 1.790241 0.1236088 0.363700279 -5.388979892
ITIH1 3697 -0.8620046 1.8794058 -1.094086 0.3158811 0.614201842 -6.237844197
ITIH2 3698 0.1468394 2.6223446 0.1373474 0.895249 0.953926654 -6.856235903
ITIH3 3699 -0.5247892 5.4061369 -0.4547674 0.6652658 0.853748061 -6.749780366
ITIH4 3700 0.1288435 8.5029747 0.4301286 0.6821211 0.861238788 -6.761961308
ITIH5 80760 -1.93985414 5.45617576 -8.0617805 0.183561400608 0.2002879744 0.7227365126
ITIH5L 347365 -0.1712145 3.2076554 -0.4384091 0.6764334 0.858751551 -6.757938496
ITK 3702 0.31175235 2.54826865 0.34015755 0.7453696 0.887263389 -6.8008151995
ITLN1 55600 -0.4151705 6.1036987 -0.2542443 0.8077953 0.915642322 -6.830001782
ITLN2 142683 -3.854986 5.5887641 -2.948049 0.02567613 0.146221188 -3.78639277
